FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,BL,BL,,,2017,Yes,,Paved,0.01510016,,Public Works,E UNION AVE,INTERSTATE 25/STR,INTERSTATE 25/STR,ARTERIAL,2,0,35,2, 7100 BLK OF E UNION AVE,D16I17
,BL,BL,,,2017,Yes,,Paved,0.00631018,,Public Works,E UNION AVE,BELLEVIEW TO NB I25 RAMP/STR,BELLEVIEW TO NB I225 RAMP/STR,ARTERIAL,2,10,35,1, 7200 BLK OF E UNION AVE_EB,D16I17
,BL,BL,,,2017,Yes,,Paved,0.11729796,,Public Works,E UNION AVE,S MONACO ST/PRIVATE RD/TRAFFIC SIGNAL/SUBDIVISION RD,S NIAGARA ST,ARTERIAL,3,10,35,1, 6500 BLK OF E UNION AVE_EB,D16I17
,BL,BL,,,2017,Yes,,Paved,0.11993377000000001,,Public Works,E UNION AVE,S NEWPORT ST,SB I25 TO BELLEVIEW RAMP/STR,ARTERIAL,2,0,35,2, 6800 BLK OF E UNION AVE,D16I17
,BL,BL,,,2017,Yes,,Paved,0.01782928,,Public Works,E UNION AVE,SB I25 TO BELLEVIEW RAMP/STR,INTERSTATE 25/STR,ARTERIAL,2,0,35,2, 7000 BLK OF E UNION AVE,D16I17
,BL,BL,,,2017,Yes,,Paved,0.09364314,,Public Works,E UNION AVE,S SYRACUSE ST/TRAFFIC SIGNAL,PRIVATE RD/TRAFFIC SIGNAL BTWN S SYRACUSE ST AND S ULSTER ST,ARTERIAL,2,0,25,2, 7700 BLK OF E UNION AVE,D16I17
,BL,BL,,,2017,Yes,,Paved,0.17591752,,Public Works,E UNION AVE,PRIVATE RD/TRAFFIC SIGNAL BTWN S SYRACUSE ST AND S ULSTER ST,S ULSTER ST/TRAFFIC SIGNAL,ARTERIAL,2,11,35,1, 7800 BLK OF E UNION AVE_EB,D16I17
,BL,BL,,,2017,Yes,,Paved,0.08222538,,Public Works,E UNION AVE,PRIVATE RD,S ULSTER ST/TRAFFIC SIGNAL,ARTERIAL,2,0,25,2, 7900 BLK OF E UNION AVE,D16I17
,BL,BL,,,2017,Yes,,Paved,0.01707502,,Public Works,E UNION AVE,SB I25 TO BELLEVIEW RAMP/STR,INTERSTATE 25/STR,ARTERIAL,2,10,35,1, 6800 BLK OF E UNION AVE_EB,D16I17
,BL,BL,,,2017,Yes,,Paved,0.12480434,,Public Works,E UNION AVE,S NEWPORT ST,SB I25 TO BELLEVIEW RAMP/STR,ARTERIAL,2,10,35,1, 6800 BLK OF E UNION AVE_EB,D16I17
,BL,,,,,,,,0.023060980000000002,,,E MONTVIEW BLVD,N CLERMONT ST,N CLERMONT ST,ARTERIAL,2,10,30,0, 4500 BLK OF E MONTVIEW BLVD,
,BL,,,,,,,,0.05090933,,,E 29TH AVE,N XANTHIA CT,N XENIA ST,COLLECTOR,2,0,25,2, 8750 BLK OF E 29TH AVE,
,BL,,,,,,,,0.08025425,,,E DARTMOUTH AVE,PRIVATE RD,S ROSLYN ST/PRIVATE RD,COLLECTOR,2,12,30,0, 7350 BLK OF E DARTMOUTH AVE,
,BL,,,,2008,,,Paved,0.05516174,,Public Works,E 35TH AVE,N WABASH ST,N WILLOW ST,LOCAL,2,0,25,1, 8500 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.05886157,,Public Works,E 35TH AVE,N WILLOW ST,N XANTHIA ST,LOCAL,2,0,25,1, 8600 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.05427251,,Public Works,E 35TH AVE,N XANTHIA ST,N XANTHIA CT,LOCAL,2,0,25,1, 8700 BLK OF E 35TH AVE,
,BL,,,,,,,,0.02701704,,,N SYRACUSE ST,E 32ND AVE/TRAF CIR,N SYRACUSE ST,COLLECTOR,2,0,25,0, 3200 BLK OF N SYRACUSE ST,
,SH,,,,,,,,0.04073015,,,E 29TH AVE,N SYRACUSE ST,E 29TH PL,COLLECTOR,2,12,25,1, 7700 BLK OF E 29TH AVE,
,BL,,,,,,,,0.06490038000000001,,,N SYRACUSE ST,E 25TH AVE,E 26TH AVE,COLLECTOR,2,10,25,0, 2500 BLK OF N SYRACUSE ST,
,BL,,,,,,,,0.11742099,,,E MARTIN LUTHER KING BLVD,TRAFFIC SIGNAL BTWN N RICHARD ALLEN CT AND N COLORADO BLVD,N COLORADO BLVD,ARTERIAL,2,0,35,2, 3900 BLK OF E MARTIN LUTHER KING BLVD,
,BL,,,,2008,,,Paved,0.11366986,,Public Works,E 35TH AVE,N ALTON ST,N BEELER ST,LOCAL,2,0,25,2, 9100 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.053980560000000004,,Public Works,E 35TH AVE,N BEELER ST,N BEELER CT,LOCAL,2,0,25,2, 9200 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.053532420000000004,,Public Works,E 35TH AVE,N BEELER CT,N BOSTON ST,LOCAL,2,0,25,2, 9250 BLK OF E 35TH AVE,
,BL,,,,2008,,,,0.21098411,,,E 35TH AVE,N ULSTER ST,N CENTRAL PARK BLVD,COLLECTOR,4,11,25,2, 8125 BLK OF E 35TH AVE,
,BL,,,,2008,,,,0.09565915,,,E 35TH AVE,MEDIAN,N ULSTER ST,COLLECTOR,4,11,25,1,8000 BLK OF E 35TH AVE,
,PPBL,,,1,2012,No,,Paved,0.03115546,,Public Works,W 46TH AVE,N RALEIGH ST,TRAFFIC SIGNAL BTWN N STUART ST AND N RALEIGH ST,COLLECTOR,2,10,30,0, 4200 BLK OF W 46TH AVE,
,SH,,,,,,,,0.05434647,,,COURT PL,STR,16TH ST,ARTERIAL,3,10,25,1, 1550 BLK OF COURT PL,
,BL,,,1,2012,No,,Paved,0.02333704,,Public Works,W DARTMOUTH AVE,S UTICA ST,TRAFFIC SIGNAL BTWN S VRAIN ST AND S UTICA ST,COLLECTOR,2,12,30,0, 4500 BLK OF W DARTMOUTH AVE,
,BL,,,,,,,,0.0474083,,,N SYRACUSE ST,E 29TH AVE,E 29TH PL,COLLECTOR,2,10,25,0, 2900 BLK OF N SYRACUSE ST,
,SH,,,,,,,,0.08417373,,,E 29TH PL,N ROSLYN ST,N SYRACUSE ST,COLLECTOR,2,10,25,2, 7500 BLK OF E 29TH PL,
,BL,,,,,,,,0.08557805,,,N SYRACUSE ST,E 26TH AVE,E 28TH AVE,COLLECTOR,2,10,25,0, 2600 BLK OF N SYRACUSE ST,
,BL,,,,,,,,0.15785227000000002,,,CITY PARK ESPLANADE,E 16TH AVE,E 17TH AVE,LOCAL,2,0,25,2, 1600 BLK OF N ESPLANADE PKWY_SB,
,BL,,,,,,,,0.04358863,,,E DARTMOUTH AVE,PRIVATE RD,PRIVATE RD,COLLECTOR,2,12,30,0, 8000 BLK OF E DARTMOUTH AVE,
,BL,,,,,,,,0.07744573,,,E MARTIN LUTHER KING BLVD,N LOCUST ST,N MONACO STREET PKWY,ARTERIAL,3,0,35,2, 6400 BLK OF E MARTIN LUTHER KING BLVD,
,BL,,,,2008,,,Paved,0.10631287,,Public Works,E 35TH AVE,N XANTHIA CT,N YOSEMITE ST,LOCAL,2,0,25,2, 8800 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.05496526,,Public Works,E 35TH AVE,N YOSEMITE ST,N AKRON ST,LOCAL,2,2,25,2, 8900 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.05502481,,Public Works,E 35TH AVE,N AKRON ST,N AKRON CT,LOCAL,2,0,25,2, 9000 BLK OF E 35TH AVE,
,BL,,,,2008,,,Paved,0.05521972,,Public Works,E 35TH AVE,N AKRON CT,N ALTON ST,LOCAL,2,0,25,2, 9050 BLK OF E 35TH AVE,
,SH,,,,,,,,0.08348,,,E 29TH AVE,N ROSLYN ST,N SYRACUSE ST,COLLECTOR,2,12,25,1, 7500 BLK OF E 29TH AVE,
,BL,,,,2008,,,Paved,0.05352039,,Public Works,E 35TH AVE,N AKRON ST,N AKRON CT,LOCAL,2,0,25,1, 9000 BLK OF E 35TH AVE,
,BL,,,,,,,,0.05113154,,,E 29TH AVE,N XENIA ST,N YOSEMITE ST,COLLECTOR,2,12,25,1, 8800 BLK OF E 29TH AVE_EB,
,BL,,,,2008,,,,0.20973105,,,E 35TH AVE,N ULSTER ST,N CENTRAL PARK BLVD,COLLECTOR,4,11,25,1, 8125 BLK OF E 35TH AVE,
,BL,,,,,,,,0.00928049,,,E MONTVIEW BLVD,N CHERRY ST,N CHERRY ST,ARTERIAL,2,10,30,0, 4600 BLK OF E MONTVIEW BLVD,
,SH,,,,,,,,0.05073362,,,COURT PL,W COLFAX AVE/N CHEROKEE ST,14TH ST,ARTERIAL,3,10,25,1, 1350 BLK OF COURT PL,
,BL,,,,2014,No,,Paved,0.09749524,,Public Works,CENTRAL ST,18TH ST,19TH ST,COLLECTOR,2,10,25,0, 1800 BLK OF CENTRAL ST,
,SRd,SH,ASM,3,,Yes,,Paved,0.06529512,,Public Works,E 7TH AVE,N LOGAN ST,N PENNSYLVANIA ST,COLLECTOR,3,10,25,0,  400 BLK OF E 7TH AVE,D15I15
,SH,,,,2008,,,Paved,0.09394544,,Public Works,N SHERMAN ST,E 19TH AVE,E 20TH AVE,LOCAL,2,10,25,0, 1900 BLK OF N SHERMAN ST,
,BL,,,,,,,,0.04242528,,,E 7TH AVENUE PKWY,N DETROIT ST,N FILLMORE ST,COLLECTOR,2,0,25,2, 2800 BLK OF E 7TH AVENUE PKWY,
,BL,,,,,,,,0.06155468,,,E MONTVIEW BLVD,N WABASH ST,N WILLOW ST,ARTERIAL,4,10,30,0, 8500 BLK OF E MONTVIEW BLVD,
,CT,,,1,2014,No,,Paved,0.06678511,,Public Works,15TH ST,STOUT ST,CHAMPA ST,ARTERIAL,5,10,25,1,  800 BLK OF 15TH ST,CT
,BL,,,2,2014,No,,Paved,0.06418238,,Public Works,E 26TH AVE,N NEWPORT ST,N ONEIDA ST,COLLECTOR,2,10,30,0, 6800 BLK OF E 26TH AVE,
,BL,,,3,2014,No,,Paved,0.058855160000000004,,Public Works,E 23RD AVE,N CLERMONT ST,N CHERRY ST,ARTERIAL,3,10,30,0, 4500 BLK OF E 23RD AVE,
,BL,,,3,2014,No,,Paved,0.05861968,,Public Works,E 23RD AVE,N BIRCH ST,N CLERMONT ST,ARTERIAL,3,10,30,0, 4400 BLK OF E 23RD AVE,
,BL,,,2,2014,No,,Paved,0.06232826,,Public Works,E 26TH AVE,N PONTIAC ST,N POPLAR ST,COLLECTOR,2,10,30,0, 7100 BLK OF E 26TH AVE,
,BL,,,3,2014,No,,Paved,0.06235993,,Public Works,E 23RD AVE,N ELM ST,N FAIRFAX ST,ARTERIAL,3,10,30,0, 5000 BLK OF E 23RD AVE,
,BL,,,2,2014,No,,Paved,0.05862114,,Public Works,E 26TH AVE,N BIRCH ST,N CLERMONT ST,COLLECTOR,2,10,25,0, 4400 BLK OF E 26TH AVE,
,BL,,,2,2014,No,,Paved,0.05843426,,Public Works,E 26TH AVE,N DEXTER ST,N DAHLIA ST,COLLECTOR,2,10,25,0, 4700 BLK OF E 26TH AVE,
,BL,,,2,2014,No,,Paved,0.06270628,,Public Works,E 26TH AVE,N LEYDEN ST,N LOCUST ST,COLLECTOR,2,10,25,0, 6300 BLK OF E 26TH AVE,
,BL,,,,,,,,0.06207704,,,E 7TH AVENUE PKWY,N RACE ST,N VINE ST,COLLECTOR,2,10,25,1, 2000 BLK OF E 7TH AVE_EB,
,BL,,,,,,,,0.063599,,,E MARTIN LUTHER KING BLVD,N JASMINE ST,N KEARNEY ST,ARTERIAL,3,12,35,1, 6000 BLK OF E MLK BLVD_EB,
,BL,,,,,,,,0.09179333,,,LARIMER ST,26TH ST,27TH ST,ARTERIAL,3,11,30,2, 2600 BLK OF LARIMER ST,
,BL,,,,,,,,0.06327713,,,E MARTIN LUTHER KING BLVD,N GLENCOE ST,N GRAPE ST,ARTERIAL,3,12,35,1, 5300 BLK OF E MLK BLVD_EB,
,BL,,,,,,,,0.06267172,,,E 7TH AVENUE PKWY,N GAYLORD ST,N YORK ST,COLLECTOR,2,10,25,1, 2200 BLK OF E 7TH AVE_EB,
,BL,,,,,,,,0.05847098,,,E HAPPY CANYON RD,S JERSEY ST/COLI,S JASMINE ST/COLI,COLLECTOR,2,10,30,0, 5900 BLK OF E HAPPY CANYON RD,
,BL,,,,,,,,0.06334085,,,E MARTIN LUTHER KING BLVD,N MAGNOLIA ST,N NIAGARA ST,ARTERIAL,2,0,35,2, 6600 BLK OF E MARTIN LUTHER KING BLVD,
,BL,,,,,,,,0.06345068,,,E MARTIN LUTHER KING BLVD,N IVANHOE ST,N IVY ST,ARTERIAL,3,12,35,1, 5700 BLK OF E MLK BLVD_EB,
,BL,,,,,,,,0.10269323,,,E 8TH AVE,N ROSLYN ST,N SYRACUSE ST,COLLECTOR,2,10,25,0, 7500 BLK OF E 8TH AVE,
,BL,,,,,,,,0.12432079,,,N YOSEMITE ST,E LOWRY BLVD/TRAF CIR,E IRVINGTON PL,ARTERIAL,2,0,25,2,  100 BLK OF N YOSEMITE ST,
,BL,,,,,,,,0.08581815,,,E DARTMOUTH AVE,S TRENTON ST/PRIVATE RD,PRIVATE RD,COLLECTOR,2,12,30,0, 7900 BLK OF E DARTMOUTH AVE,
,BL,,,,,,,,0.05871225,,,E 7TH AVENUE PKWY,N MONROE ST,N GARFIELD ST,COLLECTOR,2,10,25,1, 3600 BLK OF E 7TH AVE_EB,
,BL,,,,,,,,0.03647211,,,E MARTIN LUTHER KING BLVD,N BIRCH ST,N CLERMONT ST,ARTERIAL,2,0,35,2, 4400 BLK OF E MARTIN LUTHER KING BLVD,
,BL,,,,,,,,0.04253435,,,N SYRACUSE ST,E 28TH PL,E 29TH AVE,COLLECTOR,2,10,25,0, 2850 BLK OF N SYRACUSE ST,
,BL,,,,,,,,0.06263518,,,E MARTIN LUTHER KING BLVD,N HOLLY ST,N IVANHOE ST,ARTERIAL,3,0,35,2, 5600 BLK OF E MARTIN LUTHER KING BLVD,
,BL,,,,,,,,0.05468391,,,E 29TH AVE,N ALTON CT,N BEELER ST,COLLECTOR,2,0,25,2, 9150 BLK OF E 29TH AVE,
,BL,,,,,,,,0.03479168,,,E MARTIN LUTHER KING BLVD,N CLERMONT ST,N CHERRY ST,ARTERIAL,2,0,35,2, 4500 BLK OF E MARTIN LUTHER KING BLVD,
,BL,,,,,,,,0.09840145,,,E HAPPY CANYON RD,COLI/S HOLLY WAY,COLI/S IVANHOE ST,COLLECTOR,2,10,30,0, 5700 BLK OF E HAPPY CANYON RD,
,BL,,,,,,,,0.05946466,,,E DARTMOUTH AVE,S ROSEMARY ST,S TRENTON ST/PRIVATE RD,COLLECTOR,2,12,30,0, 7850 BLK OF E DARTMOUTH AVE,
,BL,,,,,,,,0.048380030000000004,,,E MARTIN LUTHER KING BLVD,N MONACO STREET PKWY,N MAGNOLIA ST,ARTERIAL,3,12,35,1, 6500 BLK OF E MLK BLVD_EB,
,BL,,,,,,,,0.05819147,,,E 7TH AVENUE PKWY,N COOK ST,N MADISON ST,COLLECTOR,2,10,25,1, 3400 BLK OF E 7TH AVE_EB,
,BL,,,,,,,,0.058523030000000004,,,E 7TH AVENUE PKWY,N MONROE ST,N GARFIELD ST,COLLECTOR,2,0,25,2, 3600 BLK OF E 7TH AVENUE PKWY,
,BL,,,,,,,,0.09305917,,,N ROSLYN ST,E 29TH DR,E MARTIN LUTHER KING JR BLVD/N ROSLYN WAY,COLLECTOR,2,10,25,0, 2975 BLK OF N ROSLYN ST,
,BL,,,,,,,,0.11337008,,,N YOSEMITE ST,COLI/N ALTON WAY,E 11TH AVE/COLI,ARTERIAL,2,0,25,2, 1000 BLK OF N YOSEMITE ST,
,BL,,,,,,,,0.058812670000000004,,,E MARTIN LUTHER KING BLVD,N CHERRY ST,N DEXTER ST,ARTERIAL,3,12,35,1, 4600 BLK OF E MLK BLVD_EB,
,BufBL,BufBL,,3,2017,No,,Paved,,,Public Works,W REGIS BLVD,PRIVATE RD/N GROVE ST,N IRVING ST,COLLECTOR,2,10,30,1, 3100 BLK OF W REGIS BLVD,D16I17
,SRd,CL,S,1,,Yes,,,,,Public Works,E 20TH AVE,N GRANT ST,21ST ST,ARTERIAL,3,10,25,2,  300 BLK OF E 20TH AVE,D16I17
,BufBL,BufBL,,2,2017,No,,Paved,0.11531024000000001,,Public Works,S TAMARAC DR,E EASTMAN AVE,PRIVATE RD,ARTERIAL,2,10,30,1, 3200 BLK OF S TAMARAC DR,D16I17
,BufBL,BufBL,,3,2017,No,,Paved,,,Public Works,W REGIS BLVD,N KNOX CT,REGIS UNIVERSITY RD,COLLECTOR,2,0,30,2, 3450 BLK OF W REGIS BLVD_EB,D16I17
,BufBL,BufBL,,3,2017,No,,Paved,,,Public Works,W REGIS BLVD,N IRVING ST,REGIS UNIVERSITY RD,COLLECTOR,2,10,30,1, 3300 BLK OF W REGIS BLVD,D16I17
,BufBL,BufBL,,3,2017,No,,Paved,,,Public Works,W REGIS BLVD,N FEDERAL BLVD/W 50TH AVE,PRIVATE RD/N GROVE ST,COLLECTOR,2,10,30,1, 3000 BLK OF W REGIS BLVD,D16I17
,BL,BL,,,2017,Yes,,Paved,0.11846487,,Public Works,E UNION AVE,S NIAGARA ST,S NEWPORT ST,ARTERIAL,3,0,35,2, 6500 BLK OF E UNION AVE,D16I17
,BL,BL,,,2017,Yes,,Paved,0.09875168000000001,,Public Works,E UNION AVE,S SYRACUSE ST/TRAFFIC SIGNAL,PRIVATE RD/TRAFFIC SIGNAL BTWN S SYRACUSE ST AND S ULSTER ST,ARTERIAL,2,11,35,1, 7700 BLK OF E UNION AVE_EB,D16I17
,BL,BL,,,2017,Yes,,Paved,0.11944899,,Public Works,E UNION AVE,S NIAGARA ST,S NEWPORT ST,ARTERIAL,3,10,35,1, 6500 BLK OF E UNION AVE_EB,D16I17
,,BL,C,,,Yes,,Paved,0.0207789,,Public Works,LAWRENCE ST,35TH ST,N DOWNING ST/TRAFFIC SIGNAL,ARTERIAL,2,10,30,1, 3500 BLK OF LAWRENCE ST,
,,BL,C,,,Yes,,Paved,0.06418622,,Public Works,LAWRENCE ST,E 36TH AVE,N MARION ST,ARTERIAL,3,10,30,1, 3600 BLK OF LAWRENCE ST,
,,BL,C,,,Yes,,Paved,0.04776088,,Public Works,LAWRENCE ST,N DOWNING ST/TRAFFIC SIGNAL,E 36TH AVE,ARTERIAL,2,10,30,1, 3550 BLK OF LAWRENCE ST,
,,BL,C,,,Yes,,Paved,0.14795146,,Public Works,N MARION ST,E 37TH AVE,WALNUT ST/38TH ST/TRAFFIC SIGNAL,ARTERIAL,3,10,30,1, 3700 BLK OF N MARION ST,
,,BBlvd,,,,Yes,,Paved,0.0058407,,Public Works,S LIPAN ST,W VIRGINIA AVE/RRX,RRX,COLLECTOR,2,10,25,0,  500 BLK OF S LIPAN ST,I19
,,BBlvd,,,,Yes,,Paved,0.0058407,,Public Works,S LIPAN ST,W VIRGINIA AVE/RRX,RRX,COLLECTOR,2,10,25,0,,I19
,SWBP,SWBP,C,1,2016,No,,Paved,,,Public Works,,,,,,,,, 3800 BLK OF N INCA ST,
,SUP,SUP,,,,Yes,,Paved,,,Public Works,,,,,,,,,UNNAMED,D16I17
,,BBlvd,ASM,,,Yes,,Paved,0.013271390000000001,,Public Works,GLENARM PL,26TH ST,N WASHINGTON ST/E 25TH AVE,LOCAL,2,10,25,0, 2600 BLK OF GLENARM PL,D16I17
,,BBlvd,,,,,,,,,,GLENARM PL,26TH ST,N WASHINGTON ST/E 25TH AVE,LOCAL,2,10,25,0,,D16I17
,,BBlvd,ASM,,,Yes,,Paved,0.06745015,,Public Works,30TH ST,GLENARM PL,WELTON ST,LOCAL,2,10,25,0,  500 BLK OF 30TH ST,D16I17
,,BBlvd,ASM,,,Yes,,Paved,0.06543774000000001,,Public Works,30TH ST,CALIFORNIA ST,STOUT ST,LOCAL,2,10,25,0,  700 BLK OF 30TH ST,D16I17
,,BBlvd,ASM,,,Yes,,Paved,,,Public Works,30TH ST,STOUT ST,CHAMPA ST,LOCAL,2,10,25,0,  800 BLK OF 30TH ST,D16I17
,,BBlvd,ASM,,,Yes,,Paved,0.06413242,,Public Works,30TH ST,WELTON ST,CALIFORNIA ST,LOCAL,2,10,25,0,  600 BLK OF 30TH ST,D16I17
,,BBlvd,,,,,,,,,,30TH ST,CALIFORNIA ST,STOUT ST,LOCAL,2,10,25,0,,D16I17
,,BBlvd,,,,,,,,,,30TH ST,GLENARM PL,WELTON ST,LOCAL,2,10,25,0,,D16I17
,,BBlvd,,,,,,,,,,30TH ST,WELTON ST,CALIFORNIA ST,LOCAL,2,10,25,0,,D16I17
,,BBlvd,,,,,,,,,,30TH ST,STOUT ST,CHAMPA ST,LOCAL,2,10,25,0,,D16I17
,BL,BL,,2,2017,No,,Paved,,,Public Works,W 2ND AVE,N KNOX CT,N KING ST,LOCAL,2,10,25,0,,D16I17
,BL,BL,,,2017,Yes,,Paved,0.09321067,,Public Works,E UNION AVE,PRIVATE RD/TRAFFIC SIGNAL BTWN S SYRACUSE ST AND S ULSTER ST,PRIVATE RD,ARTERIAL,2,0,25,2, 7800 BLK OF E UNION AVE,D16I17
,SH,SH,,1,2011,No,,Paved,0.12520096,,Public Works,S HIGH ST,E ASBURY AVE,E EVANS AVE,LOCAL,2,10,25,0, 2000 BLK OF S HIGH ST,
,BL,,,1,2012,No,,Paved,0.053237480000000004,,Public Works,W DARTMOUTH AVE,S VRAIN ST,S WINONA CT,COLLECTOR,2,12,30,0, 4600 BLK OF W DARTMOUTH AVE,
,BL,,,,,,,,0.05885583,,,E MONTVIEW BLVD,N CLERMONT ST,N CHERRY ST,ARTERIAL,2,10,30,0, 4500 BLK OF E MONTVIEW BLVD,
,SH,SH,,1,2011,No,,Paved,0.056817190000000004,,Public Works,S HIGH ST,E BUCHTEL BLVD,E COLORADO AVE,LOCAL,2,10,30,0, 1700 BLK OF S HIGH ST,
,BL,BL,NAC,1,2011,No,,Paved,0.061810290000000004,,Public Works,W FLORIDA AVE,S LOWELL BLVD,S MEADE ST,COLLECTOR,4,10,30,0, 3600 BLK OF W FLORIDA AVE,
,SH,,,1,2012,No,,Paved,0.14434779,,Public Works,W DARTMOUTH AVE,S ZURICH CT,S SHERIDAN BLVD,COLLECTOR,3,12,30,0, 5150 BLK OF W DARTMOUTH AVE,
,SH,,,,,,,,0.06184959,,,E HARVARD AVE,S SHERMAN ST,S GRANT ST,LOCAL,2,10,25,0,  200 BLK OF E HARVARD AVE,
,BL,BL,NAC,1,2011,No,,Paved,0.0247344,,Public Works,W FLORIDA AVE,S WINONA WAY,TRAFFIC SIGNAL BTWN S WINONA WAY AND S WOLFF ST,COLLECTOR,4,10,30,0, 4700 BLK OF W FLORIDA AVE,
,BL,,,1,2012,No,,Paved,0.05719901,,Public Works,W DARTMOUTH AVE,S OSCEOLA ST,S PATTON CT,COLLECTOR,2,11,30,0, 3900 BLK OF W DARTMOUTH AVE,
,SRd,PPBL,LD,2,,,,,0.06182372,,,E FLORIDA AVE,S LOCUST ST,S MONACO STREET PKWY,COLLECTOR,2,10,30,0, 6400 BLK OF E FLORIDA AVE,
,SH,,,1,2012,No,,Paved,0.05280273,,Public Works,W DARTMOUTH AVE,S WOLFF ST,S YATES ST,COLLECTOR,2,12,30,0, 4800 BLK OF W DARTMOUTH AVE,
,BL,,,,,,,,0.02500594,,,E MONTVIEW BLVD,N EUDORA ST,N EUDORA ST,ARTERIAL,2,10,30,0, 4900 BLK OF E MONTVIEW BLVD,
,BufBL,,,,2014,,,Paved,0.03377052,,Public Works,N WASHINGTON ST,E SPEER BLVD,E SPEER BLVD,COLLECTOR,2,10,30,2,  300 BLK OF N WASHINGTON ST,
,BL,,,,,,,,0.06237821,,,E MONTVIEW BLVD,N KRAMERIA ST,N LEYDEN ST,ARTERIAL,2,10,30,0, 6200 BLK OF E MONTVIEW BLVD,
,BL,,,,,,,,0.03594153,,,E MONTVIEW BLVD,N BIRCH ST,N CLERMONT ST,ARTERIAL,2,10,30,0, 4400 BLK OF E MONTVIEW BLVD,
,SRd,PPBL,LD,2,,,,,0.054498330000000005,,,E FLORIDA AVE,S LEYDEN ST,S LOCUST ST,COLLECTOR,2,10,30,0, 6300 BLK OF E FLORIDA AVE,
,SRd,PPBL,ASM,2,,,,,0.059567010000000004,,,E FLORIDA AVE,S ALBION ST,S ASH ST,COLLECTOR,2,10,30,0, 4100 BLK OF E FLORIDA AVE,
,SRd,BBlvd,C,1,,,,,,,,S IRVING ST,W JEWELL AVE,S HOOKER CIR/S JULIAN CIR,COLLECTOR,2,0,25,1, 1900 BLK OF S IRVING ST,
,SRd,,,,,,,,,,,E 26TH AVE,N EMPORIA ST/COLI,N EMPORIA CT/COLI,COLLECTOR,2,11,25,0, 9800 BLK OF E 26TH AVE,
,SRd,,,,,,,,,,,PENA BLVD,RAMP,RAMP,ARTERIAL,3,0,65,2, 5100 BLK OF PENA BLVD_WB,
,,PPBL,ASM,2,,,,,,,,E 6TH AVENUE PKWY,N OLIVE ST,N PONTIAC ST,ARTERIAL,2,0,30,2, 7000 BLK OF E 6TH AVENUE PKWY,
,SRd,BBlvd,C,3,,,,,,,,S FRANKLIN ST,E AMHERST AVE/COLI,COLI/E BATES PKWY,COLLECTOR,2,10,25,0, 2800 BLK OF S FRANKLIN ST,
,,PPBL,ASM,2,,,,,,,,E 6TH AVENUE PKWY,N NEWPORT ST,N ONEIDA ST,ARTERIAL,2,0,30,2, 6800 BLK OF E 6TH AVENUE PKWY,
,SRd,,,,,,,,,,,W UNION AVE,S RALEIGH ST,CDS,COLLECTOR,2,10,25,0, 4200 BLK OF W UNION AVE,
,SRd,BL,ASM,2,,,,,,,,N CLERMONT STREET PKWY,E 3RD AVE/N BELO HORIZONTE PKWY,E 4TH AVE,LOCAL,2,0,25,2,  300 BLK OF N CLERMONT STREET PKWY,
,SRd,,,,,,,,,,,N KEARNEY ST,E 30TH AVE,E MARTIN LUTHER KING BLVD,LOCAL,2,10,25,0, 3000 BLK OF N KEARNEY ST,
,SRd,PPBL,ASM,2,,,,,,,,N CHERRY ST,E 16TH AVE,E BATAVIA PL,LOCAL,2,10,25,0, 1600 BLK OF N CHERRY ST,
,SRd,BL,RP1,2,,,,,,,,S DAHLIA ST,E MEXICO AVE,E MONTANA PL,COLLECTOR,2,12,25,0, 1700 BLK OF S DAHLIA ST,
,,,C,3,,,,,,,,E 5TH AVE,N GRANT ST/E SPEER BLVD/STR,N LOGAN ST,LOCAL,2,10,25,0,  300 BLK OF E 5TH AVE,
,SRd,BBlvd,C,3,,,,,,,,E SEVERN PL,N NEWPORT ST,N ONEIDA ST,LOCAL,2,10,25,0, 6800 BLK OF E SEVERN PL,
,SRd,BL,RP1,2,,,,,,,,E JEWELL AVE,RAMP,S CLERMONT ST,COLLECTOR,2,10,25,0, 4300 BLK OF E JEWELL AVE,
,,BL,RP1,2,,,,,,,,E JEWELL AVE,S KEARNEY ST/S KEARNEY WAY,S LEYDEN ST,LOCAL,2,10,25,0, 6100 BLK OF E JEWELL AVE,
,SRd,BBlvd,,1,,,,,,,,N KRAMERIA ST,E 25TH AVE,E 26TH AVE,LOCAL,2,10,25,0, 2500 BLK OF N KRAMERIA ST,
,SRd,,,,,,,,,,,E 29TH AVE,N EUDORA ST,N ELM ST,LOCAL,2,11,25,0, 4900 BLK OF E 29TH AVE,
