FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 36TH AVE,E 37TH AVE,COLLECTOR,2,10,25,0, 3600 BLK OF N WILLIAMS ST,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 42ND AVE,W 43RD AVE,COLLECTOR,2,11,30,0, 4200 BLK OF N ZUNI ST,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 27TH AVE,E 28TH AVE,LOCAL,2,10,25,0, 2700 BLK OF N WILLIAMS ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N MEADE ST,N NEWTON ST,COLLECTOR,2,10,30,0, 3700 BLK OF W 32ND AVE,
,,SH,ASM,3,,,,,,,,E 40TH AVE,N JOSEPHINE ST,N COLUMBINE ST,ARTERIAL,4,10,35,0, 2400 BLK OF E 40TH AVE,
,,SH,ASM,3,,,,,,,,E 40TH AVE,N YORK ST,N JOSEPHINE ST,ARTERIAL,4,10,35,0, 2300 BLK OF E 40TH AVE,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 39TH AVE,W 40TH AVE,COLLECTOR,2,11,30,0, 3900 BLK OF N ZUNI ST,
,SRd,BL,RP1,1,,,,,,,,E 21ST AVE,N WILLIAMS ST,N HIGH ST,LOCAL,2,10,25,0, 1800 BLK OF E 21ST AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N TEJON ST,N UMATILLA ST,COLLECTOR,2,10,30,0, 2000 BLK OF W 32ND AVE,
,,,FTP1,3,,,,,,,,N ZUNI ST,W SCOTT PL,W 46TH AVE,COLLECTOR,2,11,30,0, 4550 BLK OF N ZUNI ST,
,SWBP,S,S,3,,,,,,,,38TH ST,DELGANY ST,CHESTNUT PL,ARTERIAL,4,10,30,0, 1900 BLK OF 38TH ST,
,,,PShdr,,,,,,,,,S HOLLY ST,S KRAMERIA ST,S KRAMERIA ST,LOCAL,2,0,25,0, ,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N MILWAUKEE ST,N SAINT PAUL ST,COLLECTOR,2,10,25,0, 3000 BLK OF E 48TH AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E MARTIN LUTHER KING BLVD,E 33RD AVE,COLLECTOR,2,10,25,0, 3200 BLK OF N WILLIAMS ST,
,,BBlvd,C,3,,,,,,,,N SHOSHONE ST,W 50TH AVE,W 50TH AVE,LOCAL,2,10,25,0, ,
,,BBlvd,C,1,,,,,,,,N MARION ST,E 36TH AVE,LAWRENCE ST,LOCAL,2,10,25,1, 3600 BLK OF N MARION ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N NEWTON ST,N OSCEOLA ST,COLLECTOR,2,10,30,0, 3800 BLK OF W 32ND AVE,
,,SH,ASM,3,,,,,,,,E 40TH AVE,N SAINT PAUL ST,N STEELE ST,ARTERIAL,4,10,35,0, 3100 BLK OF E 40TH AVE,
,,BBlvd,C,3,,,,,,,,N HIGH ST,E 25TH AVE,E 26TH AVE,LOCAL,2,10,25,0, 2500 BLK OF N HIGH ST,
,,BL,LD,3,,,,,,,,N ZUNI ST,W DUNKELD PL,W 30TH AVE,ARTERIAL,2,11,30,0, 2925 BLK OF N ZUNI ST,
,SRd,,FTP2,,,,,,,,,N FRANKLIN ST,E 35TH AVE,E 36TH AVE,COLLECTOR,2,10,25,0, 3500 BLK OF N FRANKLIN ST,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 30TH AVE,E 31ST AVE,LOCAL,2,10,25,0, 3000 BLK OF N WILLIAMS ST,
,,,PShdr,,,,,,,,,S HOLLY ST,S KRAMERIA ST,E DICKENSON PL,LOCAL,2,0,25,0, 2425 BLK OF S HOLLY ST,
,SRd,BL,RP2,1,,,,,,,,W 49TH AVE,N FENTON ST,N GOLDEN CT,LOCAL,2,10,25,0, 5800 BLK OF W 49TH AVE,
,SRd,BBlvd,C,1,,,,,,,,E 21ST AVE,N GAYLORD ST,N YORK ST/DENVER ZOO RD,LOCAL,2,10,25,0, 2200 BLK OF E 21ST AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 38TH AVE,E 39TH AVE,COLLECTOR,2,10,25,0, 3800 BLK OF N WILLIAMS ST,
,,PShdr,PShdr,3,,,,,,,,N CLAYTON ST,E 48TH AVE,E 49TH AVE,LOCAL,2,10,25,0, 4800 BLK OF N CLAYTON ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N CLAY ST,N ELIOT ST,COLLECTOR,2,10,30,0, 2700 BLK OF W 32ND AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 33RD AVE,E BRUCE RANDOLPH AVE,COLLECTOR,2,10,25,0, 3300 BLK OF N WILLIAMS ST,
,,BBlvd,ASM,3,,,,,,,,N LINCOLN ST,E 47TH AVE,E 48TH AVE,LOCAL,2,10,25,0, 4700 BLK OF N LINCOLN ST,
,SRd,SUP,C,3,,,,,,,,N JACKSON ST,E 40TH AVE,E 41ST AVE,ARTERIAL,2,10,30,0, 4000 BLK OF N JACKSON ST,
,,SH,ASM,3,,,,,,,,E 40TH AVE,N WILLIAMS ST,N HIGH ST,ARTERIAL,4,10,35,0, 1800 BLK OF E 40TH AVE,
,SRd,PPBL,ASM,3,,,,,,,,E 44TH AVE,N SAINT PAUL ST,N STEELE ST,LOCAL,2,10,25,0, 3100 BLK OF E 44TH AVE,
,,BBlvd,ASM,3,,,,,,,,N LINCOLN ST,E 49TH AVE,E 50TH AVE,LOCAL,2,10,25,0, 4900 BLK OF N LINCOLN ST,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 38TH AVE,W 39TH AVE,COLLECTOR,2,11,30,0, 3800 BLK OF N ZUNI ST,
,SWBP,S,S,3,,,,,,,,38TH ST,N BRIGHTON BLVD,DELGANY ST,ARTERIAL,4,10,30,0, 1800 BLK OF 38TH ST,
,,PShdr,PShdr,2,,,,,,,,N CLAYTON ST,E 47TH AVE,E 48TH AVE,COLLECTOR,2,10,25,0, 4700 BLK OF N CLAYTON ST,
,,BBlvd,C,3,,,,,,,,N LINCOLN ST,E 48TH AVE,RRX,LOCAL,2,10,25,0, 4800 BLK OF N LINCOLN ST,
,,BBlvd,C,3,,,,,,,,N OSAGE ST,W DIXIE PL,W 50TH AVE,LOCAL,2,10,25,0, 4950 BLK OF N OSAGE ST,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N SAINT PAUL ST,N SAINT PAUL ST,COLLECTOR,2,10,25,0, 3050 BLK OF E 48TH AVE,
,SRd,PPBL,ASM,3,,,,,,,,E 44TH AVE,N FILLMORE ST,N MILWAUKEE ST,LOCAL,2,10,25,0, 2900 BLK OF E 44TH AVE,
,,BL,RP1,3,,,,,,,,W 50TH AVE,N LOWELL BLVD/W REGIS BLVD,N MEADE ST,COLLECTOR,2,10,25,0, 3600 BLK OF W 50TH AVE,
,,BL,RP2,3,,,,,,,,W 50TH AVE,N VALLEJO ST,N WYANDOT ST,COLLECTOR,2,10,30,0, 2200 BLK OF W 50TH AVE,
,SRd,BL,RP2,1,,,,,,,,W 49TH AVE,N EATON ST,N FENTON ST,LOCAL,2,10,25,0, 5700 BLK OF W 49TH AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N VALLEJO ST,N VALLEJO ST,COLLECTOR,2,10,30,0, 2200 BLK OF W 32ND AVE,
,SRd,BL,RP1,2,,,,,,,,S CHEROKEE ST,W BYERS PL,W ALAMEDA AVE,LOCAL,2,10,25,0,  250 BLK OF S CHEROKEE ST,
,SRd,BL,RP1,3,,,,,,,,W 46TH AVE,N NAVAJO ST,N PECOS ST,COLLECTOR,2,10,30,0, 1400 BLK OF W 46TH AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N YATES ST,N YATES ST,COLLECTOR,2,10,30,0, 4900 BLK OF W 32ND AVE,
,SRd,PPBL,ASM,3,,,,,,,,E 44TH AVE,N CLAYTON ST,N FILLMORE ST,LOCAL,2,10,25,0, 2700 BLK OF E 44TH AVE,
,SRd,S,S,1,,,,,,,,E 20TH AVE,N WASHINGTON ST/PARK AVE/PARK AVE W,N CLARKSON ST,ARTERIAL,2,10,25,0,  750 BLK OF E 20TH AVE,
,SRd,,FTP2,,,,,,,,,N FRANKLIN ST,E BRUCE RANDOLPH AVE,E 35TH AVE,COLLECTOR,2,10,25,0, 3400 BLK OF N FRANKLIN ST,
,,BBlvd,C,1,,,,,,,,N MARION ST,E 35TH AVE,E 36TH AVE,LOCAL,2,10,25,1, 3500 BLK OF N MARION ST,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 43RD AVE,W 44TH AVE,COLLECTOR,2,11,30,0, 4300 BLK OF N ZUNI ST,
,,,,3,,,,,,,,E 40TH AVE,40TH ST/BLAKE ST,N FRANKLIN ST/WALNUT ST,ARTERIAL,3,10,35,0, 1400 BLK OF E 40TH AVE,
,,BBlvd,C,3,,,,,,,,N HIGH ST,E 24TH AVE,E 25TH AVE,LOCAL,2,10,25,0, 2400 BLK OF N HIGH ST,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 37TH AVE,W 38TH AVE,ARTERIAL,2,11,30,0, 3700 BLK OF N ZUNI ST,
,,BBlvd,C,3,,,,,,,,W 50TH AVE,N SHOSHONE ST,N TEJON ST,LOCAL,2,10,25,0, 1900 BLK OF W 50TH AVE,
,SRd,BL,RP1,3,,,,,,,,W 46TH AVE,N QUIVAS ST,N SHOSHONE ST,COLLECTOR,2,10,30,0, 1800 BLK OF W 46TH AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 28TH AVE,E 29TH AVE,LOCAL,2,10,25,0, 2800 BLK OF N WILLIAMS ST,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 50TH AVE,E 51ST AVE,ARTERIAL,2,10,30,0, 5000 BLK OF N WASHINGTON ST,
,,,,3,,,,,,,,E 40TH AVE,N FRANKLIN ST/WALNUT ST,N WILLIAMS ST,ARTERIAL,4,10,35,0, 1600 BLK OF E 40TH AVE,
,,SH,ASM,3,,,,,,,,E 51ST AVE,N WASHINGTON ST,N CLARKSON ST,LOCAL,2,10,25,0,  700 BLK OF E 51ST AVE,
,,SH,ASM,3,,,,,,,,E 40TH AVE,N FILLMORE ST,N MILWAUKEE ST,ARTERIAL,4,10,35,0, 2900 BLK OF E 40TH AVE,
,,,FTP1,3,,,,,,,,N ZUNI ST,W 45TH AVE,W SCOTT PL,COLLECTOR,2,11,30,0, 4500 BLK OF N ZUNI ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N ZUNI ST,N ALCOTT ST,COLLECTOR,2,10,30,0, 2400 BLK OF W 32ND AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 37TH AVE,E 38TH AVE,COLLECTOR,2,10,25,0, 3700 BLK OF N WILLIAMS ST,
,SRd,PPBL,ASM,3,,,,,,,,E 44TH AVE,N MILWAUKEE ST,N SAINT PAUL ST,LOCAL,2,10,25,0, 3000 BLK OF E 44TH AVE,
