LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00414025,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73533,105119
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.05937706,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73563,105883
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00424532,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73723,109535
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00334001,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73637,107390
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00420717,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73669,108131
Washington Park,711,Smith Lake Loop,None,1,Park Circulation,Asphalt,0.03988493,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,74204,108887
Garland Park,728,None,None,1,Park Circulation,Asphalt,0.17639735,6.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71999,109351
South Platte River Greenway,TRL-SP,South Platte River Trail,None,2,Access/Ramp,Concrete,0.00480116,None,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,75962,112169
South Platte River Greenway,TRL-SP,South Platte River Trail,None,2,Access/Ramp,Concrete,0.0133397,None,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,76044,112170
Fuller Park,205,None,None,1,Right of Way Walk,Concrete,0.03354766,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71884,106451
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.01104056,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71885,106452
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.11361497,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71826,104912
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.01487225,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71995,109347
